nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,montant_pret
Richard,Isaac,36,169.9,56.5,F,oui,bac,Bretagne,oui,oui,2590,83585
Fernandez,Nathalie,52,163.2,84.6,H,oui,bac+2,Hauts-de-France,oui,oui,2323,41634
Hamon,Camille,68,161.7,65.2,F,non,master,Provence-Alpes-Côte d’Azur,non,non,2995,83971
Guyon,Diane,62,164.4,57.7,F,non,doctorat,Occitanie,non,oui,2792,84212
Berthelot,Andrée,20,172.4,62.4,F,non,doctorat,Bretagne,oui,oui,1934,83874
Ferreira,Christine,61,172.3,48.3,H,non,doctorat,Île-de-France,oui,oui,811,41800
Perez,Cécile,59,162.8,66.8,F,non,bac,Normandie,non,non,2873,83678
Laporte,Guy,48,184.8,82.9,F,non,bac+2,Auvergne-Rhône-Alpes,oui,non,2308,84034
Léger,Brigitte,39,169.8,55.0,F,non,bac+2,Normandie,oui,oui,2477,83874
Traore,Thibault,38,167.1,74.8,F,non,aucun,Normandie,oui,non,1507,84273
Langlois,Suzanne,52,175.2,93.0,F,non,aucun,Corse,non,non,2369,84013
Tanguy,Amélie,49,174.0,80.4,F,oui,bac,Bretagne,oui,non,2018,83775
Marie,Patrick,46,172.2,70.2,F,oui,aucun,Corse,oui,oui,2617,83768
Rousset,Agathe,18,162.3,70.4,F,oui,bac,Provence-Alpes-Côte d’Azur,non,non,3097,84230
Pascal,Maggie,59,184.5,84.4,H,non,bac+2,Bretagne,non,non,5083,41610
Renault,Grégoire,48,162.3,83.1,H,non,doctorat,Hauts-de-France,non,oui,2720,41611
Bonneau,André,56,191.9,57.9,H,oui,bac+2,Normandie,non,non,1492,41738
Poirier,Manon,50,164.0,38.1,F,oui,bac+2,Bretagne,non,non,1869,83816
Ribeiro,Anouk,46,162.4,72.3,F,non,bac+2,Normandie,non,non,2910,83746
Garnier,Margaux,73,188.8,84.3,H,oui,doctorat,Normandie,oui,non,1807,42117
Gautier,Marie,44,161.0,77.4,H,non,master,Normandie,non,non,915,41893
Pasquier,Véronique,68,188.3,87.7,H,non,aucun,Hauts-de-France,non,non,1936,41576
Philippe,Guillaume,73,152.9,90.3,F,oui,doctorat,Occitanie,oui,non,2362,84408
Schneider,Julie,44,182.4,46.1,H,oui,master,Bretagne,non,non,1780,42274
Mace,Astrid,43,170.1,70.7,H,non,doctorat,Normandie,non,non,1959,42035
Dias,Philippine,74,176.2,54.0,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,2329,83815
Legrand,Isabelle,36,171.2,77.7,H,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,3353,41819
Marques,Geneviève,62,158.8,47.0,F,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,4033,83683
Leclercq,Cécile,41,173.3,58.8,F,oui,bac,Normandie,oui,oui,4361,84017
Delattre,Laurence,23,171.2,87.7,F,oui,master,Hauts-de-France,oui,oui,2581,83546
Ledoux,Frédérique,34,190.6,96.3,F,non,aucun,Occitanie,non,non,2201,84189
Berger,Maryse,28,179.7,79.7,H,non,bac+2,Bretagne,non,non,4142,42449
Peron,Joséphine,47,160.4,80.3,F,oui,master,Occitanie,oui,oui,3770,83862
Bertrand,Anaïs,54,152.4,52.3,F,non,bac+2,Île-de-France,non,oui,500,84428
Julien,Christophe,54,167.3,80.8,H,non,bac+2,Corse,non,oui,4302,41598
Weiss,Gilles,30,170.7,94.4,F,oui,aucun,Île-de-France,non,non,843,83814
Roche,Patricia,20,153.0,69.2,F,oui,aucun,Bretagne,non,non,2960,83866
Maillet,Michèle,29,169.7,39.0,H,oui,doctorat,Auvergne-Rhône-Alpes,non,non,2393,41708
Vallet,Benjamin,34,157.0,80.0,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,non,2939,83755
Delannoy,Timothée,27,160.6,62.3,H,non,doctorat,Auvergne-Rhône-Alpes,oui,non,1228,42242
Chrétien,Emmanuelle,18,169.4,84.3,F,oui,master,Auvergne-Rhône-Alpes,non,oui,1317,84193
Delaunay,Capucine,70,175.0,62.0,F,oui,bac,Occitanie,oui,non,1548,83812
Guilbert,Georges,53,168.9,54.5,F,oui,aucun,Occitanie,non,non,1835,83686
Roy,Maurice,25,158.0,99.5,H,oui,aucun,Bretagne,non,oui,2542,41596
Lombard,Michèle,33,163.0,73.2,H,non,master,Auvergne-Rhône-Alpes,non,oui,2365,42217
Carre,Christine,64,167.8,79.2,H,non,aucun,Occitanie,non,non,3409,42216
Delahaye,Zoé,35,164.7,61.4,H,non,bac,Occitanie,non,non,2169,41551
Marchand,Capucine,72,147.0,47.3,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,4140,83517
Lévy,Josette,30,186.4,66.3,H,non,aucun,Corse,oui,oui,3191,41849
Giraud,Margot,39,173.1,116.2,H,oui,doctorat,Corse,oui,non,3843,41588
Colin,Christiane,53,168.7,55.7,H,oui,bac,Auvergne-Rhône-Alpes,oui,non,572,42430
Barthelemy,Jeanne,56,172.0,58.7,H,non,bac,Hauts-de-France,non,non,793,42042
Gosselin,Édith,25,163.5,53.8,H,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,4524,42228
Bonnet,Raymond,19,178.8,69.9,H,non,aucun,Hauts-de-France,non,oui,4275,41841
Parent,Rémy,65,170.8,57.1,H,non,master,Auvergne-Rhône-Alpes,oui,oui,4327,41586
Lemonnier,Charles,32,175.4,54.4,H,non,master,Île-de-France,oui,non,2271,42042
Bernier,Renée,72,161.2,49.3,F,non,aucun,Occitanie,non,oui,3611,84112
Lesage,Claire,23,189.1,49.0,F,oui,aucun,Hauts-de-France,non,non,3175,84246
Couturier,Astrid,55,163.5,62.7,F,non,doctorat,Bretagne,non,oui,1789,83556
Courtois,Pierre,45,161.4,70.7,H,oui,doctorat,Corse,non,oui,1502,41767
Voisin,Nathalie,32,172.7,69.2,F,non,master,Normandie,non,non,2213,83832
Chevalier,Élisabeth,38,160.9,61.3,F,non,bac+2,Auvergne-Rhône-Alpes,oui,non,3406,83955
Bernier,Suzanne,48,175.0,55.3,H,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,2619,41664
Morvan,Denis,65,177.5,45.0,F,oui,doctorat,Île-de-France,non,non,3152,84190
Rossi,Paulette,44,163.4,78.6,F,non,aucun,Bretagne,non,oui,1584,83699
Torres,Clémence,54,152.0,45.6,H,oui,master,Corse,oui,oui,2557,42323
Lamy,Guillaume,53,172.6,56.4,F,oui,bac+2,Corse,non,non,3266,84234
Joseph,Élise,67,153.4,69.0,H,non,aucun,Hauts-de-France,non,non,1046,42170
Alexandre,Émilie,37,163.5,70.7,F,non,aucun,Hauts-de-France,oui,oui,1467,84287
Traore,Anaïs,43,166.2,85.1,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,1807,42278
Martin,Arthur,47,178.4,53.1,F,oui,bac+2,Bretagne,non,non,3135,84455
Bouvet,Stéphanie,54,184.4,32.9,H,oui,bac,Hauts-de-France,oui,non,1543,41569
Barre,Julie,35,175.8,67.0,F,non,master,Occitanie,non,oui,2945,83973
Michaud,Lucie,66,164.0,71.3,H,non,master,Provence-Alpes-Côte d’Azur,non,non,2313,42054
Berthelot,Lucy,55,181.7,73.8,F,non,aucun,Corse,non,non,2905,84149
Lejeune,Paulette,21,165.9,62.7,H,oui,bac+2,Corse,oui,non,1980,42489
Deschamps,Madeleine,36,173.9,63.7,F,oui,aucun,Occitanie,non,oui,2847,83554
Hernandez,Clémence,42,190.8,83.1,H,non,aucun,Normandie,oui,oui,2108,42080
Girard,Nicole,47,182.0,63.9,H,non,doctorat,Normandie,non,non,500,42290
Fernandes,Lorraine,44,159.9,41.9,F,oui,master,Île-de-France,non,oui,2078,84426
Berger,Timothée,57,170.2,95.1,F,non,aucun,Normandie,oui,oui,2892,84053
Boulay,Gilles,55,167.8,82.4,F,oui,master,Bretagne,non,oui,500,83908
Gaillard,Sylvie,67,172.4,81.6,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,725,41717
Samson,Thibaut,40,181.4,75.1,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,2001,83984
Gros,Christine,29,176.3,104.1,H,oui,bac,Occitanie,non,non,2718,42458
Breton,Olivie,66,172.5,63.1,F,non,bac+2,Hauts-de-France,non,oui,1480,83897
Guibert,Odette,46,178.3,57.2,F,non,doctorat,Île-de-France,non,oui,2585,83565
Lévêque,Timothée,37,165.2,77.2,F,non,aucun,Île-de-France,non,non,2900,83522
Morin,Cécile,22,180.4,62.3,H,non,master,Île-de-France,non,non,2176,42296
Maillot,Chantal,54,160.2,63.3,H,non,doctorat,Occitanie,oui,non,2952,42401
Cohen,Gabrielle,46,177.6,56.2,H,non,aucun,Hauts-de-France,oui,oui,3543,41686
Dubois,Nathalie,46,183.6,76.2,F,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,4752,84178
Masson,Marguerite,67,162.3,51.3,F,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,500,84356
Lebon,Guillaume,61,185.0,79.8,F,non,bac+2,Hauts-de-France,non,oui,2433,83997
Delahaye,Émile,60,172.8,53.1,H,non,bac+2,Normandie,oui,oui,5434,42399
Poulain,Margaud,23,171.3,71.6,F,non,bac+2,Hauts-de-France,oui,non,3370,83673
Colin,Thibaut,45,174.8,73.4,F,oui,bac+2,Bretagne,oui,non,1551,84157
Gonzalez,Corinne,39,174.7,98.2,F,oui,bac,Hauts-de-France,oui,oui,4114,84333
Lefort,Célina,72,185.9,62.3,H,oui,bac+2,Hauts-de-France,non,oui,1312,42434
Jourdan,Laurence,29,168.7,70.8,H,non,aucun,Normandie,non,non,3813,41999
Delannoy,Aimé,33,153.1,92.9,F,non,master,Corse,oui,oui,2310,84439
Leclerc,Alexandria,69,165.7,54.8,F,oui,bac+2,Occitanie,non,non,514,83768
Dumas,Sylvie,67,178.2,71.1,F,non,bac,Corse,oui,non,952,84487
Faure,Louis,21,157.0,65.0,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,4502,84483
Pinto,Suzanne,66,167.4,47.5,H,non,master,Hauts-de-France,non,oui,2205,42474
Imbert,Alphonse,32,167.3,29.5,F,non,aucun,Normandie,oui,oui,2434,84059
Gérard,Julien,41,167.7,80.4,H,non,aucun,Auvergne-Rhône-Alpes,oui,oui,4718,42112
Diaz,Susanne,24,181.3,66.0,F,oui,bac,Île-de-France,non,non,1172,84292
Colas,Gilles,48,195.7,70.9,H,non,master,Île-de-France,oui,oui,2516,42076
Rousseau,Inès,31,169.8,73.0,H,non,aucun,Bretagne,oui,oui,2326,42368
Giraud,Luce,21,164.3,61.8,H,non,doctorat,Occitanie,oui,oui,2460,41716
Menard,Tristan,75,164.6,59.3,F,oui,doctorat,Corse,oui,oui,2627,84312
Bertin,Laure,18,167.5,92.6,F,oui,doctorat,Normandie,oui,non,500,83957
Boyer,Nicolas,23,180.9,88.7,F,oui,doctorat,Île-de-France,non,non,500,83801
Simon,Audrey,20,166.6,64.4,F,non,bac+2,Île-de-France,non,non,810,84149
Goncalves,René,40,162.2,53.3,H,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,4602,42346
Lefèvre,Jeanne,52,179.4,89.1,F,oui,master,Occitanie,oui,non,3366,84390
Paris,Monique,22,158.7,62.1,F,oui,bac+2,Corse,oui,non,3087,83747
Bouvet,Sophie,74,157.8,80.7,H,non,bac+2,Normandie,non,oui,2211,42093
Moreno,Claire,66,166.3,80.7,H,non,bac+2,Île-de-France,non,oui,3033,42258
Guillaume,Julien,69,166.4,87.4,F,non,master,Occitanie,non,oui,1202,83786
Chevallier,Honoré,29,176.2,78.9,F,non,bac+2,Bretagne,oui,non,2128,84383
Letellier,Chantal,23,173.3,51.2,F,oui,doctorat,Bretagne,non,oui,3608,84106
Arnaud,Aimée,38,168.2,62.2,F,non,master,Normandie,oui,non,3758,84185
Lefort,Gilbert,40,163.0,48.9,F,oui,bac+2,Normandie,non,non,632,83917
Riou,Capucine,68,176.1,50.8,H,oui,master,Auvergne-Rhône-Alpes,oui,non,4605,41700
Le Roux,Joseph,27,149.2,95.4,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,2753,83766
Costa,Michèle,41,169.0,61.8,F,non,doctorat,Île-de-France,oui,non,2978,83686
Poulain,Théophile,41,169.6,86.5,F,non,aucun,Hauts-de-France,non,oui,2637,83623
Royer,Yves,59,171.5,64.5,F,oui,aucun,Île-de-France,oui,oui,2431,83549
Leclerc,Stéphane,42,173.1,44.3,H,non,bac+2,Occitanie,oui,non,882,41739
Auger,Margot,36,177.4,72.6,F,oui,aucun,Hauts-de-France,oui,oui,2279,84494
Benard,Victor,75,170.2,75.2,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,1852,84389
Bouvet,Marthe,36,162.2,72.9,F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,1325,84367
Noël,Matthieu,30,174.1,44.5,H,oui,master,Île-de-France,non,oui,3734,41851
Hervé,Émile,41,174.7,73.8,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3679,84246
Besnard,Dorothée,63,186.7,85.2,F,non,master,Provence-Alpes-Côte d’Azur,oui,non,500,84004
Fournier,Christiane,59,157.2,60.6,H,non,master,Auvergne-Rhône-Alpes,oui,non,2531,42072
Lejeune,Suzanne,67,175.2,59.1,H,oui,master,Île-de-France,oui,oui,2724,42152
Boyer,Aimée,37,162.4,60.8,H,oui,bac+2,Corse,non,non,812,42350
Paul,Philippe,51,160.8,49.7,F,oui,bac+2,Corse,non,oui,1328,84349
Joseph,Simone,37,180.5,55.8,H,oui,doctorat,Hauts-de-France,oui,non,5658,42438
Guyot,Christine,64,174.9,72.8,F,oui,aucun,Provence-Alpes-Côte d’Azur,oui,non,1469,84402
Lecomte,Caroline,67,177.0,61.4,F,oui,doctorat,Normandie,oui,oui,2646,84095
Joseph,Margot,58,195.6,68.6,F,non,master,Corse,non,oui,3879,83883
Letellier,Zacharie,22,163.0,69.5,H,oui,master,Normandie,non,oui,4624,41663
Petit,Bernadette,39,163.7,97.2,H,non,bac+2,Auvergne-Rhône-Alpes,non,oui,3349,41793
Dufour,Richard,41,164.4,79.5,H,non,bac,Occitanie,oui,oui,3667,41880
Chrétien,Christelle,33,176.2,46.4,H,oui,aucun,Bretagne,non,non,1627,41758
Dumont,Frédéric,44,167.5,68.9,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,3244,42408
Lecomte,Monique,49,171.8,50.0,F,non,bac+2,Occitanie,oui,oui,2956,84385
Chauvin,Marcel,43,176.1,78.4,F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,3796,83721
Nguyen,Aimée,49,178.3,76.9,F,non,doctorat,Île-de-France,oui,oui,2415,84225
Renaud,Henriette,74,153.4,76.4,F,non,master,Auvergne-Rhône-Alpes,oui,oui,2749,84386
Arnaud,Noël,54,172.7,50.8,H,non,doctorat,Bretagne,oui,oui,1202,42387
Guillou,Richard,46,180.5,69.4,F,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,3317,84093
Schmitt,Édith,39,170.3,70.4,F,oui,bac,Normandie,oui,oui,3625,83568
Leclerc,Marc,26,164.8,71.4,F,non,doctorat,Occitanie,oui,non,1945,84461
Thomas,Vincent,50,165.7,65.4,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,2766,41974
Simon,Aimée,57,165.2,88.8,F,non,doctorat,Occitanie,non,oui,1426,83889
Lamy,Andrée,19,168.1,63.4,F,non,aucun,Normandie,non,non,4236,83912
Labbé,Bernadette,64,172.0,85.5,H,non,bac+2,Corse,oui,oui,717,42143
Jourdan,Maryse,28,172.7,83.3,F,oui,bac,Île-de-France,oui,oui,2598,83834
Bertrand,Brigitte,46,180.7,62.2,F,non,bac,Normandie,oui,oui,4191,84404
Giraud,Édouard,67,193.0,64.6,F,oui,bac,Corse,non,non,1965,84215
Hoarau,Jacqueline,48,184.5,93.7,F,non,bac,Occitanie,non,oui,1872,83990
Parent,Susan,61,165.8,65.8,F,non,bac,Corse,non,oui,886,83836
Lefort,Antoinette,32,160.8,54.9,F,non,bac,Occitanie,non,oui,1578,83805
Maury,Claudine,53,169.7,73.5,F,non,aucun,Normandie,non,non,4360,84374
Paris,Aimé,67,160.0,84.8,H,non,aucun,Bretagne,oui,oui,2243,41787
Marques,Olivier,46,169.5,80.1,F,non,bac,Corse,non,non,1152,84382
Boutin,Roland,62,173.8,72.5,F,oui,aucun,Corse,oui,oui,3090,84152
Dijoux,Élise,75,172.9,106.8,H,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,1734,41693
Bourdon,Pénélope,48,164.7,60.7,H,oui,aucun,Hauts-de-France,non,non,1833,42394
Costa,Jeanne,74,163.6,87.8,F,non,bac,Bretagne,non,oui,4204,83591
Collin,Michelle,21,164.3,57.5,H,oui,doctorat,Île-de-France,oui,oui,3065,41694
Mendès,Roland,71,164.5,79.5,H,oui,master,Occitanie,oui,non,2743,41965
Baudry,Louis,73,154.8,93.2,F,oui,aucun,Bretagne,oui,non,4655,84432
Peltier,Anouk,39,163.9,64.2,F,non,doctorat,Occitanie,oui,non,2843,83960
Gaillard,Claudine,47,173.3,79.9,F,oui,aucun,Auvergne-Rhône-Alpes,oui,non,4912,83830
Hebert,François,59,168.2,58.0,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,844,84382
